pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
13581.599123767799,52.27360365,20.918710400000002,2.0,brick,blockOfFlats,1983.0,yes,no,not known,no,45.65,no,8.0,6.0,yes
23975.409836065573,52.18954,21.01821,5.0,brick,apartmentBuilding,2020.0,yes,yes,not known,no,122.0,no,4.0,2.0,no
14920.63492063492,52.2201401,21.1790119,2.0,brick,apartmentBuilding,2010.0,no,yes,not known,yes,56.7,no,2.0,1.0,no
18817.204301075268,52.1756,20.9957,4.0,brick,blockOfFlats,2013.0,yes,yes,not known,yes,93.0,yes,8.0,1.0,no
13163.265306122448,52.31807345,21.06911275,2.0,brick,blockOfFlats,2007.0,yes,yes,premium,yes,49.0,no,4.0,3.0,no
16773.722627737225,52.22132,20.92947,3.0,brick,apartmentBuilding,2023.0,yes,no,not known,no,68.5,yes,8.0,3.0,no
14750.0,52.2457,20.9547,3.0,brick,blockOfFlats,1955.0,no,yes,not known,no,60.0,no,3.0,1.0,yes
21471.753179070252,52.16062,21.08928,2.0,brick,apartmentBuilding,2010.0,no,yes,not known,no,47.97,no,3.0,1.0,no
22213.24717285945,52.2193672,21.0251418,2.0,brick,tenement,1950.0,yes,no,premium,no,49.52,no,6.0,5.0,no
19415.746348414676,52.235759,21.1275621,1.0,brick,blockOfFlats,2011.0,yes,yes,premium,no,28.07,no,3.0,1.0,yes
14705.882352941177,52.2648,20.97793,2.0,concreteSlab,blockOfFlats,1970.0,no,no,not known,no,51.0,no,4.0,2.0,no
14050.847457627118,52.23837,21.07762,4.0,brick,tenement,1956.0,no,no,not known,no,59.0,no,4.0,2.0,yes
26785.714285714286,52.1570452540388,21.0789456369338,5.0,brick,apartmentBuilding,2011.0,yes,yes,premium,yes,112.0,yes,4.0,2.0,yes
15185.185185185184,52.14277,21.03046,2.0,brick,apartmentBuilding,2008.0,no,no,not known,no,54.0,no,4.0,2.0,no
16450.980392156864,52.2628,21.0368,2.0,brick,tenement,1956.0,no,no,low,no,51.0,no,6.0,1.0,yes
15454.545454545454,52.23910065,21.1505854,4.0,concreteSlab,blockOfFlats,1968.0,no,no,not known,no,55.0,no,4.0,2.0,yes
14196.28884417617,52.2422253,20.9882491,2.0,brick,tenement,1953.0,no,no,low,no,44.73,no,4.0,2.0,yes
18881.11888111888,52.15592,21.05306,2.0,brick,apartmentBuilding,2004.0,no,yes,not known,yes,57.2,no,3.0,1.0,no
13181.019332161688,52.24271,20.89436,2.0,brick,apartmentBuilding,2008.0,yes,no,not known,no,56.9,no,7.0,7.0,no
17474.4211093161,52.23939,20.93641,2.0,concreteSlab,blockOfFlats,1973.0,yes,yes,not known,no,37.14,no,10.0,8.0,no
18556.701030927834,52.1605,21.0785,5.0,brick,apartmentBuilding,2007.0,yes,yes,not known,yes,97.0,yes,4.0,3.0,no
